12
************************************************************************
 $Id: eii_ik.data,v 1.3 2011/04/12 22:17:51 mainegra Exp $
************************************************************************
Electron Impact Ionization cross sections for K, LI, LII and LIII shells
with binding energies above 1 keV in barn/atom.
Energy range: binding energy ... 10 GeV
Equidistant bins on a logarithmic grid.
The Kawrakow theory has been used to calculate the data.
Format is: max. energy, number of points 
For each element: Z, number of shells with U > 1 keV
For each such shell: global cross section maximum
                     N data points sigma/sigma_max
 0.42764 0.41266 0.39825 0.38441 0.37112 0.35838 0.34618 0.33450 0.32334 0.31267
 0.30250 0.29280 0.28357 0.27478 0.26643 0.25851 0.25100 0.24388 0.23715 0.23079
 0.22479 0.21913 0.21382 0.20882 0.20414 0.19977 0.19568 0.19187 0.18834 0.18506
 0.18204 0.17926 0.17671 0.17439 0.17229 0.17039 0.16869 0.16719 0.16587 0.16474
 0.16377 0.16296 0.16232 0.16183 0.16148 0.16127 0.16119 0.16124 0.16141 0.16170
 0.16210 0.16260 0.16321 0.16391 0.16470 0.16558 0.16654 0.16757 0.16868 0.16986
 0.17110 0.17241 0.17377 0.17519 0.17666 0.17817 0.17974 0.18134 0.18298 0.18466
 0.18638 0.18813 0.18991 0.19171 0.19355 0.19540 0.19728 0.19918 0.20110 0.20304
 0.20500 0.20697 0.20896 0.21096 0.21297 0.21500 0.21703 0.21908 0.22114 0.22320
 0.22527 0.22735 0.22944 0.23153 0.23363 0.23574 0.23785 0.23997 0.24209 0.24421
 0.24634 0.24847 0.25061 0.25274 0.25488 0.25703 0.25917 0.26132 0.26347 0.26563
 0.26778 0.26994 0.27210 0.27426 0.27642 0.27858 0.28075 0.28291 0.28508 0.28724
 0.28941 0.29158 0.29375 0.29592 0.29809 0.30027 0.30244 0.30461 0.30679 0.30896
 0.31114 0.31331 0.31549 0.31766 0.31984 0.32202 0.32420 0.32637 0.32855 0.33073
 0.33291 0.33509 0.33727 0.33945 0.34162 0.34380 0.34598 0.34816 0.35034 0.35252
 0.35471 0.35689 0.35907 0.36125 0.36343 0.36561 0.36779 0.36997 0.37215 0.37433
 0.37652 0.37870 0.38088 0.38306 0.38524 0.38742 0.38961 0.39179 0.39397 0.39615
 0.39833 0.40052 0.40270 0.40488 0.40706 0.40924 0.41143 0.41361 0.41579 0.41797
 0.42016 0.42234 0.42452 0.42670 0.42889 0.43107 0.43325 0.43543 0.43762 0.43980
 0.44198 0.44416 0.44635 0.44853 0.45071 0.45289 0.45508 0.45726 0.45944 0.46162
 18 1
   3530.106    
 0.04365 0.11730 0.20309 0.29329 0.38331 0.47016 0.55192 0.62738 0.69582 0.75687
 0.81042 0.85656 0.89551 0.92758 0.95312 0.97259 0.98649 0.99530 0.99949 0.99952
 0.99586 0.98893 0.97915 0.96687 0.95247 0.93626 0.91853 0.89954 0.87955 0.85875
 0.83735 0.81552 0.79341 0.77114 0.74884 0.72661 0.70454 0.68271 0.66118 0.64001
 0.61924 0.59892 0.57908 0.55974 0.54093 0.52267 0.50496 0.48781 0.47123 0.45522
 0.43978 0.42491 0.41061 0.39686 0.38367 0.37101 0.35889 0.34730 0.33621 0.32562
 0.31552 0.30590 0.29674 0.28803 0.27976 0.27191 0.26447 0.25744 0.25079 0.24451
 0.23860 0.23304 0.22782 0.22293 0.21836 0.21409 0.21012 0.20643 0.20302 0.19988
 0.19699 0.19435 0.19195 0.18978 0.18783 0.18609 0.18456 0.18322 0.18208 0.18112
 0.18034 0.17972 0.17927 0.17897 0.17882 0.17882 0.17895 0.17921 0.17960 0.18010
 0.18072 0.18145 0.18228 0.18321 0.18423 0.18534 0.18653 0.18780 0.18915 0.19056
 0.19205 0.19359 0.19520 0.19686 0.19857 0.20033 0.20214 0.20399 0.20589 0.20782
 0.20978 0.21178 0.21381 0.21587 0.21795 0.22006 0.22219 0.22435 0.22652 0.22872
 0.23093 0.23316 0.23540 0.23765 0.23992 0.24221 0.24450 0.24680 0.24912 0.25144
 0.25377 0.25611 0.25845 0.26081 0.26316 0.26553 0.26790 0.27027 0.27265 0.27504
 0.27743 0.27982 0.28221 0.28461 0.28701 0.28942 0.29182 0.29423 0.29665 0.29906
 0.30148 0.30389 0.30631 0.30874 0.31116 0.31358 0.31601 0.31843 0.32086 0.32329
 0.32572 0.32815 0.33059 0.33302 0.33545 0.33789 0.34032 0.34276 0.34519 0.34763
 0.35007 0.35251 0.35494 0.35738 0.35982 0.36226 0.36470 0.36714 0.36958 0.37202
 0.37446 0.37691 0.37935 0.38179 0.38423 0.38667 0.38912 0.39156 0.39400 0.39645
 0.39889 0.40133 0.40378 0.40622 0.40866 0.41111 0.41355 0.41600 0.41844 0.42088
 0.42333 0.42577 0.42822 0.43066 0.43311 0.43555 0.43800 0.44044 0.44289 0.44533
 0.44778 0.45022 0.45267 0.45511 0.45756 0.46000 0.46245 0.46489 0.46734 0.46978
 0.47223 0.47467 0.47712 0.47956 0.48201 0.48445 0.48690 0.48934 0.49179 0.49423
 0.49668 0.49913 0.50157 0.50402 0.50646 0.50891 0.51135 0.51380 0.51624 0.51869
 19 1
   2761.004    
 0.04381 0.11702 0.20205 0.29150 0.38087 0.46721 0.54857 0.62376 0.69204 0.75304
 0.80666 0.85298 0.89222 0.92464 0.95061 0.97057 0.98501 0.99439 0.99918 0.99984
 0.99680 0.99051 0.98134 0.96969 0.95590 0.94027 0.92311 0.90468 0.88521 0.86493
 0.84401 0.82264 0.80096 0.77911 0.75720 0.73534 0.71362 0.69212 0.67089 0.65001
 0.62951 0.60944 0.58984 0.57072 0.55212 0.53404 0.51651 0.49954 0.48312 0.46726
 0.45197 0.43723 0.42306 0.40943 0.39635 0.38381 0.37180 0.36031 0.34932 0.33884
 0.32884 0.31931 0.31025 0.30164 0.29347 0.28573 0.27840 0.27147 0.26493 0.25876
 0.25297 0.24753 0.24243 0.23767 0.23322 0.22909 0.22525 0.22171 0.21845 0.21546
 0.21273 0.21025 0.20802 0.20602 0.20424 0.20269 0.20134 0.20020 0.19925 0.19849
 0.19791 0.19750 0.19726 0.19718 0.19725 0.19746 0.19782 0.19831 0.19893 0.19966
 0.20052 0.20148 0.20255 0.20372 0.20499 0.20634 0.20778 0.20930 0.21090 0.21256
 0.21430 0.21610 0.21796 0.21987 0.22184 0.22386 0.22593 0.22804 0.23019 0.23238
 0.23460 0.23686 0.23915 0.24147 0.24382 0.24619 0.24858 0.25100 0.25344 0.25590
 0.25837 0.26086 0.26337 0.26589 0.26843 0.27098 0.27353 0.27610 0.27868 0.28127
 0.28387 0.28647 0.28909 0.29171 0.29433 0.29697 0.29960 0.30225 0.30489 0.30755
 0.31020 0.31286 0.31553 0.31820 0.32087 0.32354 0.32622 0.32890 0.33158 0.33426
 0.33695 0.33963 0.34232 0.34501 0.34771 0.35040 0.35310 0.35579 0.35849 0.36119
 0.36389 0.36659 0.36930 0.37200 0.37470 0.37741 0.38011 0.38282 0.38553 0.38824
 0.39094 0.39365 0.39636 0.39907 0.40178 0.40449 0.40720 0.40991 0.41262 0.41534
 0.41805 0.42076 0.42347 0.42619 0.42890 0.43161 0.43433 0.43704 0.43976 0.44247
 0.44518 0.44790 0.45061 0.45333 0.45604 0.45876 0.46147 0.46419 0.46690 0.46962
 0.47233 0.47505 0.47777 0.48048 0.48320 0.48591 0.48863 0.49135 0.49406 0.49678
 0.49949 0.50221 0.50493 0.50764 0.51036 0.51307 0.51579 0.51851 0.52122 0.52394
 0.52666 0.52937 0.53209 0.53481 0.53752 0.54024 0.54296 0.54567 0.54839 0.55111
 0.55382 0.55654 0.55926 0.56197 0.56469 0.56741 0.57012 0.57284 0.57556 0.57828
 20 1
   2170.618    
 0.04313 0.11560 0.19987 0.28856 0.37730 0.46315 0.54418 0.61916 0.68737 0.74843
